Day,1,2,3,4,5,6,7,8,9,10,11
0:00,79.8,83.6,79.8,83.4,82.5,83.2,71,72.2,82.6,83.4,84.9
1:00,78.7,82.4,79,82.3,81.5,82.8,70.1,71.9,81.6,82.1,84.3
2:00,77.8,81.5,78.3,81.6,80.2,81.1,69.9,71.7,80.5,81.6,83.7
3:00,77,81,78,80.6,79.1,80.1,69.7,71.9,79.3,81,82.1
4:00,76.4,79.8,78.2,79.8,78,79.5,69.8,71.8,78.4,80,78.6
5:00,76.4,78.9,77.9,79,77,78.6,69.8,71.8,77.8,79.2,77.3
6:00,76.6,78.5,77.8,78.7,76.9,78.5,69.5,72,77.7,78.8,77.1
7:00,78.3,79.3,79.7,79.9,80,77.8,69.9,74.6,79.8,79.8,74.7
8:00,80.7,81.3,82.1,81.6,81.9,77.9,70.7,79,83.1,82.2,73.8
9:00,83.7,83.8,84.3,83.4,83.7,80.9,72.4,82.3,85.9,85.5,75.4
10:00,86.2,86.4,86.1,85.3,86.4,84,74.2,84.7,88.5,88.6,78.8
11:00,88.3,88.3,88.5,87,88.7,86.2,76.8,86.2,90.8,91.2,80.7
12:00,89.9,89.8,90.4,89.8,89.7,88.3,79.3,87.6,92.6,93.2,81.1
13:00,91.3,91.2,91.7,91.9,91.2,89.8,80.4,88.8,93.7,95.4,79.7
14:00,92.5,93.1,93.2,92.8,92.4,89.8,81.2,90.1,94.4,97.2,80.1
15:00,93.7,92.3,93.4,92.9,92.9,90.2,81.5,91,94.1,97.9,79.5
16:00,93.8,93.1,93.7,94,93.2,81.4,81.8,91.3,93.5,97.8,78.2
17:00,92.6,93,93,93.2,92.6,80.8,82.2,91,92.7,97.2,76.3
18:00,91.3,91.4,91.7,91.9,91.3,77.6,81.8,89.5,91.6,94.9,74.6
19:00,89.6,87.4,90.3,89.7,89,76,81.3,87.8,89.9,92.9,72.8
20:00,88.5,86.2,89.1,88.4,87.8,74.4,78.3,86.6,88.3,91.6,71.4
21:00,87.6,84.3,87.5,87.4,86.4,72.6,75.6,85.5,87,90.3,70.5
22:00,86.5,82.2,85.7,85.6,85.2,71.8,73.9,84.4,85.6,89.2,69.5
23:00,85,80.6,84.6,84,84.4,71.3,73,83.5,84.4,87.4,69.4
